Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2013,1,,10,10,Blue Jays,N,,Phil Bickford (minors)\bickfph01,RHP,0.2,18,1,0,.000,.000,20,0,0,4.43,1.23,1,HS,Oaks Christian HS (Westlake CA)
2013,2,,47,8,Blue Jays,Y,$467280,Clinton Hollon (minors),RHP,,,,,,,,,,,,,HS,Woodford County HS (Versailles KY)
2013,3,,83,10,Blue Jays,Y,$500000,Patrick Murphy (minors)\murphpa02,RHP,0.0,0,0,0,,,10,0,1,4.15,1.46,0,HS,Hamilton HS (Chandler AZ)
2013,4,,115,9,Blue Jays,Y,$350000,Evan Smith (minors),LHP,,,,,,,,,,,,,HS,Mary Montgomery HS (Semmes AL)
2013,5,,145,9,Blue Jays,Y,$200000,Dan Lietz (minors),LHP,,,,,,,,,,,,,JC,Heartland Community College (Normal IL)
2013,6,,175,9,Blue Jays,Y,$75000,Matthew Boyd (minors)\boydma01,LHP,7.9,7,8,0,.250,.583,147,37,60,4.93,1.32,0,4Yr,Oregon State University (Corvallis OR)
2013,7,,205,9,Blue Jays,Y,$100000,Conner Greene (minors),RHP,,,,,,,,,,,,,HS,Santa Monica HS (Santa Monica CA)
2013,8,,235,9,Blue Jays,Y,$5000,Kendall Graveman (minors)\graveke01,RHP,6.7,7,5,0,.000,.000,117,26,32,4.25,1.33,8,4Yr,Mississippi State University (Mississippi State MS)
2013,9,,265,9,Blue Jays,Y,$5000,Chad Girodo (minors)\girodch01,LHP,0.1,2,0,0,,,14,0,0,4.35,1.26,0,4Yr,Mississippi State University (Mississippi State MS)
2013,10,,295,9,Blue Jays,Y,$1000,Garrett Custons (minors),C,,,,,,,,,,,,,4Yr,United States Air Force Academy (Colorado Springs CO)
2013,11,,325,9,Blue Jays,Y,$700000,Jake Brentz (minors)\brentja01,LF,0.8,2,0,0,,,40,2,1,2.82,1.25,0,HS,Parkway South HS (Manchester MO)
2013,12,,355,9,Blue Jays,Y,$100000,Tim Mayza (minors)\mayzati01,LHP,0.8,11,0,0,,,158,6,4,4.64,1.38,0,4Yr,Millersville University of Pennsylvania (Millersville PA)
2013,13,,385,9,Blue Jays,Y,,Tim Locastro (minors)\locasti01,SS,0.4,202,412,4,.233,.660,,,,,,,4Yr,Ithaca College (Ithaca NY)
2013,14,,415,9,Blue Jays,Y,,L.B. Dantzler (minors),1B,,,,,,,,,,,,,4Yr,University of South Carolina (Columbia SC)
2013,15,,445,9,Blue Jays,Y,,Jonathan Davis (minors)\davisjo05,OF,-0.4,116,204,4,.181,.550,,,,,,,4Yr,University of Central Arkansas (Conway AR)
2013,16,,475,9,Blue Jays,Y,$100000,Danny Jansen (minors)\janseda01,C,2.1,224,658,25,.201,.646,,,,,,,HS,West HS (Appleton WI)
